t(s),X(m)_A,Y(m)_A,dX/dt(m/s)_A,dY/dt(m/s)_A,X(m)_B,Y(m)_B,dX/dt(m/s)_B,dY/dt(m/s)_B,X(m)_C,Y(m)_C,dX/dt(m/s)_C,dY/dt(m/s)_C,X(m)_D,Y(m)_D,dX/dt(m/s)_D,dY/dt(m/s)_D,X(m)_G,Y(m)_G,dX/dt(m/s)_G,dY/dt(m/s)_G,X(m)_H,Y(m)_H,dX/dt(m/s)_H,dY/dt(m/s)_H,X(m)_I,Y(m)_I,dX/dt(m/s)_I,dY/dt(m/s)_I,X(m)_J,Y(m)_J,dX/dt(m/s)_J,dY/dt(m/s)_J,X(m)_L,Y(m)_L,dX/dt(m/s)_L,dY/dt(m/s)_L,X(m)_M,Y(m)_M,dX/dt(m/s)_M,dY/dt(m/s)_M
19000.0,3004.8567,1817.2071,9.0982,4.7609,2974.2231,1789.3572,11.642000000000001,0.3116,2958.325,1794.7218,12.223,1.5174,2977.0705,1796.7168,10.4531,0.3175,2999.2338,1817.5285,6.4313,5.1445,2962.0133,1793.6002,12.6991,0.3369,2974.6564,1792.237,10.8166,0.8563,2957.7265,1791.8265,12.1559,0.1324,2971.0935,1786.3115,12.038,-0.0089,3006.4658,1817.7104,7.8542,5.6467
19000.2,3006.6886,1818.1504,9.2471,4.6397,2976.5291,1789.464,11.4511,0.7761,2960.7593,1795.0505,12.1062,1.6945,2979.1609,1796.768,10.4678,0.2177,3000.5436,1818.5225,6.6993,4.7602,2964.5275,1793.6871,12.4737,0.5015,2976.8067,1792.4386,10.7096,1.1545,2960.1315,1791.8877,11.8972,0.4053,2973.4784,1786.3359,11.8275,0.2511,3008.039,1818.8333,7.9112,5.5787
19000.4,3008.5555,1819.063,9.4267,4.4613,2978.8035,1789.6677,11.3128,1.2819999999999998,2963.1675,1795.3996,11.978,1.7466,2981.2577,1796.8039,10.505,0.181,3001.9135,1819.4326,7.022,4.3051,2967.0028,1793.8008,12.3063,0.6173,2978.9402,1792.6988,10.6357,1.4542,2962.4854,1791.9887,11.6548,0.5424,2975.8245,1786.4119,11.6507,0.5162,3009.6303,1819.9419,8.0214,5.5051
19000.6,3010.4593,1819.9349,9.5777,4.2696,2981.0542,1789.9769,11.1989,1.8125,2965.5506,1795.7491,11.8802,1.726,2983.3629,1796.8404,10.5353,0.2312,3003.3524,1820.2445,7.3781,3.7804,2969.4501,1793.934,12.1842,0.711,2981.0609,1793.0202,10.5719,1.77,2964.7934,1792.1046,11.4536,0.5749,2978.1387,1786.5423,11.5065,0.8072,3011.2476,1821.0354,8.1607,5.4243
19000.8,3012.3866,1820.7708,9.6143,4.1509,2983.2831,1790.3927,11.0831,2.3235,2967.9196,1796.09,11.852,1.6788,2985.4718,1796.8964,10.5216,0.3835,3004.8647,1820.9448,7.743,3.2019,2971.8765,1794.0852,12.0916,0.8062,2983.1689,1793.4068,10.5064,2.1058,2967.0669,1792.2186,11.3191,0.5423,2980.4271,1786.7348,11.3887,1.1473,3012.8945,1822.1116,8.3113,5.3388
19001.0,3014.305,1821.5953,9.4515,4.1822,2985.4874,1790.9063,10.9509,2.7761,2970.2913,1796.4206,11.8983,1.6264,2987.5715,1796.9938,10.4248,0.6572,3006.4496,1821.5253,8.0955,2.6041,2974.2867,1794.2564,12.0222,0.9029,2985.2635,1793.8626,10.4395,2.4615,2969.3211,1792.3215,11.2602,0.4822,2982.6941,1787.0013,11.2835,1.553,3014.5721,1823.1709,8.4619,5.2663
19001.2,3016.1672,1822.4437,9.0407,4.3789,2987.6634,1791.5031,10.7966,3.1660000000000004,2972.6789,1796.7405,11.9815,1.5755,2989.6417,1797.1593,10.2107,1.0766,3008.1029,1821.9864,8.4219,2.0271,2976.6853,1794.4463,11.977,0.9818,2987.3447,1794.3914,10.3704,2.834,2971.5709,1792.4115,11.2654,0.4284,2984.9405,1787.356,11.1708,2.0253,3016.2793,1824.2181,8.6008,5.2255
19001.4,3017.9213,1823.3468,8.3927,4.695,2989.8061,1792.1727,10.6134,3.5291,2975.0839,1797.0508,12.0419,1.5399,2991.6558,1797.4245,9.8597,1.6462,3009.8183,1822.3361,8.7145,1.5,2979.0775,1794.6491,11.9581,1.0383,2989.4116,1794.9962,10.2836,3.2091,2973.8272,1792.4929,11.3146,0.4159,2987.1625,1787.8114,11.0311,2.5463,3018.0124,1825.2611,8.7093,5.2177
19001.6,3019.5243,1824.3217,7.5692,5.0709,2991.9088,1792.9147,10.3885,3.9121,2977.4957,1797.3565,12.0387,1.5447,2993.5856,1797.8178,9.3803,2.3173,3011.5887,1822.5864,8.9694,1.0398,2981.4686,1794.8617,11.9609,1.1134,2991.4582,1795.675,10.1516,3.5585,2976.0968,1792.5779,11.3928,0.4812,2989.3529,1788.3745,10.8551,3.0868,3019.763,1826.3052,8.7576,5.2306
19001.8,3020.949,1825.3752,6.6497,5.4766,2993.9615,1793.7375,10.1076,4.3374,2979.8994,1797.6687,11.9773,1.6119,2995.4079,1798.3514,8.8092,2.9925,3013.4061,1822.752,9.1845,0.6609,2983.8619,1795.0945,11.9697,1.285,2993.4722,1796.4196,9.9543,3.8535,2978.3844,1792.6854,11.4919,0.6475,2991.5045,1789.0461,10.6475,3.6202,3021.5154,1827.3533,8.7106,5.2687
