t(s),X(m)_A,Y(m)_A,dX/dt(m/s)_A,dY/dt(m/s)_A,X(m)_B,Y(m)_B,dX/dt(m/s)_B,dY/dt(m/s)_B,X(m)_C,Y(m)_C,dX/dt(m/s)_C,dY/dt(m/s)_C,X(m)_D,Y(m)_D,dX/dt(m/s)_D,dY/dt(m/s)_D,X(m)_G,Y(m)_G,dX/dt(m/s)_G,dY/dt(m/s)_G,X(m)_H,Y(m)_H,dX/dt(m/s)_H,dY/dt(m/s)_H,X(m)_I,Y(m)_I,dX/dt(m/s)_I,dY/dt(m/s)_I,X(m)_J,Y(m)_J,dX/dt(m/s)_J,dY/dt(m/s)_J,X(m)_L,Y(m)_L,dX/dt(m/s)_L,dY/dt(m/s)_L,X(m)_M,Y(m)_M,dX/dt(m/s)_M,dY/dt(m/s)_M
18980.0,3020.9999,1851.0862,1.0346,10.0354,3030.8299,1851.9493,2.1145,10.6433,3030.2242,1849.049,2.0772,10.6586,3020.4901,1847.5602,2.0479,9.4486,3013.141,1846.3984,-1.059,10.0519,3029.1973,1849.9587,2.5528,11.1448,3027.7845,1852.2603,2.1788,9.3673,3027.6826,1850.2182,2.1271,9.8792,3026.4001,1850.6195,2.0749,9.7044,3014.8348,1849.8545,-0.0601,9.6097
18980.2,3021.2126,1853.0934,1.0967,10.0111,3031.2316,1854.0737,1.8934,10.5598,3030.6246,1851.1823,1.9016,10.6662,3020.9036,1849.4276,2.0597,9.241,3012.9644,1848.3981,-0.6452,9.9093,3029.6945,1852.1812,2.3724,11.0719,3028.197,1854.1205,1.9178,9.2682,3028.0914,1852.1851,1.9686,9.7991,3026.7895,1852.54,1.7844,9.5443,3014.824,1851.7704,-0.0666,9.5492
18980.4,3021.4386,1855.0906,1.1513,9.9416,3031.5872,1856.1732,1.6783,10.4162,3030.9848,1853.3155,1.6905,10.6591,3021.314,1851.2566,2.0313,9.0932,3012.8829,1850.3621,-0.1697,9.7145,3030.1463,1854.3875,2.0957,10.9723,3028.5517,1855.9676,1.6264,9.2455,3028.47,1854.1378,1.826,9.7358,3027.1138,1854.4373,1.4543,9.4689,3014.8081,1853.6742,-0.1082,9.4897
18980.6,3021.6731,1857.07,1.1683,9.8442,3031.9029,1858.2401,1.507,10.2587,3031.3008,1855.4459,1.4848,10.6362,3021.7161,1853.0649,1.9955,9.0355,3012.8965,1852.2839,0.2647,9.5002,3030.5328,1856.5701,1.7302,10.8321,3028.8476,1857.8187,1.3605,9.2946,3028.8218,1856.0794,1.6975,9.6802,3027.3712,1856.3276,1.1472,9.4465,3014.7807,1855.5663,-0.183,9.4255
18980.8,3021.9059,1859.0283,1.1309,9.7387,3032.1901,1860.2767,1.4059,10.1288,3031.5787,1857.57,1.3425,10.5949,3022.1121,1854.8709,1.9844,9.0499,3012.9887,1854.1622,0.5919,9.2916,3030.8384,1858.7203,1.3218,10.6612,3029.0958,1859.6854,1.1727,9.3735,3029.149,1858.0099,1.5806,9.623,3027.5727,1858.2158,0.9154,9.4191,3014.7349,1857.4443,-0.2965,9.3419
18981.0,3022.1255,1860.9655,1.045,9.6421,3032.4653,1862.2917,1.4035,10.0475,3031.8378,1859.6839,1.3196,10.5372,3022.5098,1856.6848,2.0141,9.0893,3013.1333,1856.0005,0.7692,9.1108,3031.0615,1860.8346,0.9513,10.4944,3029.3167,1861.5681,1.0962,9.4342,3029.454,1859.9286,1.4874,9.5665,3027.7374,1860.0952,0.7871,9.3453,3014.6621,1859.303,-0.4703,9.2323
18981.2,3022.3239,1862.8851,0.9296,9.5686,3032.7514,1864.2956,1.5294,10.0033,3032.1066,1861.7849,1.4523,10.4709,3022.9178,1858.5066,2.0793,9.1121,3013.2964,1857.8065,0.7676,8.9736,3031.2189,1862.9181,0.6985,10.3673,3029.5343,1863.4591,1.1517,9.4513,3029.7439,1861.8365,1.4449,9.5216,3027.8876,1861.954,0.7749,9.2229,3014.5468,1861.1373,-0.7418,9.0999
18981.4,3022.4973,1864.793,0.8033,9.5247,3033.0771,1866.293,1.807,9.949,3032.4187,1863.8723,1.7468,10.4012,3023.3415,1860.3297,2.1557,9.1061,3013.4403,1859.59,0.5765,8.883,3031.3409,1864.9815,0.6069,10.2951,3029.7773,1865.3486,1.3679,9.4198,3030.032,1863.7372,1.4829,9.4914,3028.0474,1863.7844,0.8922,9.0773,3014.3653,1862.943,-1.1445,8.9426
18981.6,3022.6452,1866.695,0.68,9.5016,3033.4742,1868.2752,2.2405,9.8223,3032.8053,1865.9453,2.1736,10.3142,3023.7801,1862.149,2.2156,9.0871,3013.527,1861.3597,0.2066,8.8288,3031.4616,1867.0361,0.6816,10.2662,3030.0815,1867.227,1.7768,9.332,3030.3371,1865.6331,1.6186,9.4623,3028.2445,1865.5849,1.1578,8.9351,3014.089,1864.7143,-1.6764,8.7491
18981.8,3022.7694,1868.5936,0.5661,9.4788,3033.9733,1870.2219,2.7963,9.5868,3033.2881,1867.998,2.6773,10.1767,3024.2278,1863.9645,2.2498,9.0788,3013.523,1863.1215,-0.3082,8.7895,3031.6136,1869.088,0.9184,10.2471,3030.4881,1869.0814,2.3774,9.1746,3030.6794,1867.5222,1.8425,9.4162,3028.5105,1867.3584,1.577,8.8063,3013.6948,1866.4426,-2.2885,8.5195
18982.0,3022.8717,1870.4865,0.4398,9.4407,3034.5928,1872.11,3.3868,9.265,3033.8762,1870.016,3.198,9.9597,3024.68,1865.7805,2.2847,9.0842,3013.4037,1864.8756,-0.9217,8.7366,3031.829,1871.135,1.3171,10.1929,3031.0324,1870.8969,3.0998,8.9535,3031.0741,1869.3995,2.1176,9.3459,3028.8753,1869.1074,2.1194,8.6842,3013.1736,1868.1221,-2.9111,8.2813
18982.2,3022.9453,1872.3699,0.2371,9.3905,3035.328,1873.9279,3.8912,8.9316,3034.5673,1871.9818,3.6911,9.6672,3025.1417,1867.5982,2.3796,9.0725,3013.1543,1866.6161,-1.593,8.6391,3032.1404,1873.1652,1.8638,10.0674,3031.728,1872.6628,3.8195,8.7073,3031.5265,1871.2605,2.3909,9.2593,3029.3582,1870.8321,2.7118,8.5594,3012.5304,1869.7551,-3.4977,8.0673
18982.4,3022.9665,1874.2427,-0.1512,9.3327,3036.1492,1875.6826,4.2199,8.6673,3035.3527,1873.8829,4.1259,9.3418,3025.6318,1869.4095,2.5862,9.0001,3012.7665,1868.3312,-2.2974,8.4736,3032.5745,1875.1619,2.5017,9.8687,3032.5602,1874.3798,4.4199,8.4862,3032.0304,1873.1033,2.6102,9.1739,3029.96,1872.5312,3.2575,8.4268,3011.7745,1871.349,-4.0446,7.8795
18982.6,3022.8848,1876.103,-0.8743,9.2377,3037.0159,1877.3948,4.3637,8.5157,3036.2177,1875.7186,4.4693,9.046,3026.1761,1871.1983,2.8999,8.8519,3012.2353,1870.0056,-3.0231,8.2342,3033.1411,1877.1126,3.1322,9.6353,3033.4959,1876.0573,4.8427,8.3208,3032.5706,1874.9301,2.7358,9.1113,3030.6613,1874.2028,3.671,8.2866,3010.9125,1872.9069,-4.5671,7.6862
18982.8,3022.6168,1877.9378,-2.0708,9.0325,3037.8947,1879.0889,4.3748,8.4769,3037.1404,1877.5013,4.6732,8.8352,3026.7917,1872.9503,3.2302,8.6692,3011.5573,1871.6249,-3.7574,7.9303,3033.8274,1879.016,3.6561,9.4225,3034.4973,1877.7081,5.0827,8.2156,3033.1247,1876.7478,2.7461,9.0912,3031.4284,1875.8458,3.904,8.1504,3009.9477,1874.4235,-5.0682,7.4586
18983.0,3022.0565,1879.716,-3.7634,8.6421,3038.7658,1880.7856,4.3098,8.5276,3038.087,1879.2526,4.6766,8.738,3027.4682,1874.6659,3.42,8.537,3010.7324,1873.1777,-4.48,7.5767,3034.6035,1880.8816,4.0177,9.2741,3035.529,1879.3435,5.1524,8.1623,3033.669,1878.5666,2.6428,9.1211,3032.2229,1877.463,3.9491,8.0494,3008.8852,1875.8904,-5.5349,7.2081
18983.2,3021.1115,1881.3947,-5.7671,8.0478,3039.6186,1882.4999,4.1812,8.6372,3039.011,1880.9965,4.425,8.7502,3028.1597,1876.3651,3.3037,8.5293,3009.7653,1874.6556,-5.1635,7.1917,3035.4345,1882.7257,4.2055,9.2136,3036.5583,1880.973,5.0583,8.1523,3034.1819,1880.3962,2.4483,9.1917,3033.008,1879.0656,3.824,8.026,3007.7337,1877.3067,-5.9524,6.9828
18983.4,3019.7496,1882.9351,-7.7453,7.2977,3040.4383,1884.2404,3.9372,8.7697,3039.857,1882.7527,3.8957,8.8409,3028.7897,1878.0777,2.7739,8.6514,3008.667,1876.0544,-5.7812,6.8053,3036.2857,1884.5671,4.2126,9.2447,3037.5523,1882.6044,4.7966,8.1854,3034.6483,1882.2433,2.1901,9.2856,3033.7525,1880.6734,3.5512,8.104,3006.5043,1878.6835,-6.3124,6.8269
18983.6,3018.0133,1884.3137,-9.4122,6.4634,3041.1935,1886.0078,3.4794,8.8866,3040.5693,1884.5329,3.1141,8.9664,3029.2693,1879.8257,1.8196,8.8276,3007.4528,1877.3777,-6.316,6.4586,3037.1196,1886.4236,4.003,9.3467,3038.4769,1884.2472,4.3519,8.2773,3035.0579,1884.1105,1.8768,9.3887,3034.4285,1882.3072,3.1452,8.2657,3005.2088,1880.0375,-6.6114,6.7443
18983.8,3015.9847,1885.5205,-10.688,5.602,3041.8301,1887.7951,2.7235,8.9618,3041.1026,1886.3393,2.1463,9.0871,3029.5176,1881.6087,0.5215,8.9462,3006.1406,1878.6378,-6.7653,6.1813,3037.8869,1888.3058,3.5222,9.4754,3039.2931,1885.9153,3.6979,8.4508,3035.399,1885.9987,1.4868,9.4907,3035.0105,1883.9797,2.6117,8.4648,3003.8597,1881.3812,-6.8532,6.7052
18984.0,3013.7382,1886.5545,-11.6552,4.766,3042.2829,1889.5925,1.6731,8.9952,3041.4278,1888.1677,1.0715,9.1791,3029.4779,1883.4042,-0.9828,8.9256,3004.7467,1879.8502,-7.139,5.9726,3038.5284,1890.2137,2.7432,9.5819,3039.956,1887.6275,2.8109,8.706,3035.6526,1887.9068,0.9822,9.5797,3035.4732,1885.6931,1.9505,8.663,3002.4675,1882.7196,-7.0547,6.6765
18984.2,3011.3226,1887.4269,-12.414,4.0217,3042.4993,1891.3932,0.4339,9.0053,3041.5312,1890.0109,-0.042,9.2364,3029.1245,1885.1789,-2.5448,8.7471,3003.285,1881.0268,-7.4522,5.8064,3038.9842,1892.1385,1.6939,9.6352,3040.4174,1889.3978,1.6927,9.0008,3035.7919,1889.8306,0.3382,9.6404,3035.7907,1887.4449,1.1578,8.8489,3001.0378,1884.0518,-7.2444,6.6358
